Gradler;Stinkender Mensch
Brathendl, Gockerl;Broiler
Semmel, die;Brötchen, das
[se:me, loàwàl];Laiberl, das
Laiberlteig;Brötchenteig
Bruck;Brücke
Bruckerl;Brückchen
Buale, Büberl;Bübchen
Stier;Bulle
Leiterwagen;Bullerwagen
Gehsteig;Bürgersteig
Schippel;Büschel Haare
Holz vor der Hütte, Milchgeschirr, Spielnockerl;Busen
Butter, der;Butter, die
Cilli;Cäcilia
Kaffeehaus;Café
Lager, Zeltplatz;Camp
Kotze;Cape
Schampaninger, Schampus;Champagner
Schwammerl;Champignon
Gelegenheit;Chance
Durcheinand, Ramasuri;Chaos
Zornbinkel, Wuthaferl, Wutnickel;Choleriker
Stadt, Markt;City
Cola, das;Cola, die
Kiste;Computer
Vetter, Geschwisterkind;Cousin
Base, Geschwisterkind;Cousine
Butterhörnderl, Bamberger Hörderl;Croissant
Dachziegel;Dachpfanne
verzapfen;daherreden
selbigesmal, selmals;damals
damisch;dämlich
dumpa;dämmerig
dankschön, vergelts Gott;Danke
aft, nachher;dann
Schoaß, Bumps, Backserl;Darmwind
des;das (Artikel)
Datum, der;Datum, das
Schnürlregen;Dauerregen
Daumen halten;Daumen drücken
Schmankerl;Delikatesse
Dulle;Delle
kaputt;defekt
geschert, krachert, hagelbüchern;derb
deswegen;deshalb
Nachspeise;Dessert
körndlgefuttert, gwampert, mollert, zeckerlfett;dick
Büffel;Dickkopf
Ertag, Irta;Dienstag
de;diese
pfeilgerade;direkt
diskurieren;dirkutieren
Pfinstag;Donnerstag
zwiefotzert;doppelzüngig
Kletzen;Dörrbirne
Hutzeln;Dörrobst
nafetzen, duseln;dösen
Büchse;Dose
heraußen;draußen, hier
Dreier, der;Drei, die
laufender Meter;Dreikäsehoch
Reiber;Drehknopf
bressant;dringend
drent;drüben
pelzen;drücken, sich
Siemandl;Duckmäuser
blöd, deppert, geprellt;dumm
Dummerl, Doite, Depp;Dummkopf
Dung;Dünger
finster;dunkel
Scheps;Dünnbier
dämpfen;dünsten
dämpfig;dunstig
Ramasuri;Durcheinander
die Scheißerei;Durchfall
Brand;Durst
Brausen;Duschen
damisch;duselig
gerade;eben
Saubär;Eber
Eckerl;Eckchen
Eck, das;Ecke, die
Marone;Edelkastanie
die Frau;Ehefrau (meine)
der Mann;Ehemann (mein)
Schanzerl;Ehrenamt
Ägidi;Egidius
Gaggerl, Oar;Ei
Dotter, der;Eigelb, das
oakad;eigenartig
Eiweiß;Eiklar
schicken, schleunen, pressieren;eilen
Oarschale;Eischale
Eichkatzerl;Eichhörnchen
schleunig, pressant;eilig
Kübel;Eimer
einduseln;eindösen
Lalle, Doite;Einfaltspinsel
einschenken;eingießen
einkaufen;einholen
einzwicken;einklemmen
eingehen;einlaufen (Stoff)
einschnackeln;einrasten
die Schneid abkaufen;einschüchtern
Einser, der;Eins, die
einschieben;einstecken (Tasche)
gotzig;einzig
Steckerleis;Eis am Stiel
Surhaxe;Eisbein
Eiss;Eiterbeule
Funkentratzer;Elektriker
schmal;eng
schleichen;entfernen (sich)
schepsen;entrinden
auskommen;entwischen
kaputt, hin;entzwei
speien, retourvespern, Bröckerl husten;erbrechen
Gspeiberts;Erbrochenes
Kot, die;Erde (Anbau)
Schratzelloch;Erdstall
passieren;ereignen
dergneißen, spitz kriegen;erfahren
grab;ergraut
kriegen;erhalten
ausdeutschen;erklären
umbringen;ermorden
Enterer;Erpel
derhaut, derkommen, derlaibelt;erschöpft
derpacken, aushalten;ertragen
dergarmen;erwürgen
Marone;Esskastanie
Geschichte;Erzählung
Stockbett;Etagenbett
epper;etwa
ein Bisschen, ein wenig, ein Batzerl;etwas
eppers;etwas
wacheln;fächeln
ruschert;fahrig
Bilettl;Fahrkarte
Ferge;Fährmann
Radl;Fahrrad
bal;falls
zusammenlegen;falten (Stoff)
Fangsterl, Fangermanndl;Fangen (Spiel)
Maschkera;Faschingskostüm
Fasching, Maschkera;Fastnacht
dalfern;faseln
pfosen, pfugetzen;fauchen
gstinkert;faul
sich pelzen;faulenzen
abgehen;fehlen
das hochgute Gewand;Feiertagskleidung
Zuherzieher;Feldstecher
Zeangradl;Felsgrad
Fensterstock;Fensterrahmen
Fackel;Ferkel
Zuherzieher;Fernglas
zusammenbringen;fertigbringen
Packerlsuppe;Fertigsuppe
Fetten, die;Fett, das
sich einen Schiefer einziehen;Fettnäpfchen (ins, treten)
Daxenfeuer;Feuer aus Nadelholzzweigen
Feichten;Fichte
Daxen;Fichtenzweige
ausgeschämt, geschert;fies
Gestell;Figur
Klupperl, Griffel;Finger (Pl.)
God;Firmpate
Godei, Godin;Firmpatin
bretteleben;flachbrüstig
wacheln;flattern
fleckert;fleckig
Lackel;Flegel
Metzger;Fleischer
Leberkäse;Fleischkäse
Leberkäse;Fleischkuchen
abhauen;fliehen
Kachel;Fliese
anbandeln, spernzeln;flirten
Flitscherl;Flittchen
Flieger;Flugzeug
Flinserl;Flusen
wispern;flüstern
Ache;Fluß
Heiß, Heißerl;Fohlen
in einer Tour;fortwährend
Foto;Fotoapparat
ausfratscheln;fragen
Gehsthintre;Frack
Weiberleut;Frauen
aushergrasen, daneben hinaus gehen;fremdgehen
Gspusi;Freundin
Gottesacker;Friedhof
Fleischpflanzerl;Frikadelle
Bader;Friseur
Pfannenkuchensuppe;Fritattensuppe
Kletzenbrot;Früchtebrot
Lenz, Auswärts;Frühling
Heiß, Heißerl;Füllen
Federhalter;Füller
Plombe;Füllung (Zahn)
Fünfer, der;Fünf, die
scheuchen;fürchten
Eiss;Furunkel
Scheiß, Backs;Furz
scheißeln, backseln;furzen
Flinserl;Fusel
Zehenkäse;Fußschweiß
Brotzeit;Gabelfrühstück
stieren, zahnen;gaffen
sandeln;gammeln
Gansjung;Gänseklein
Ganserer;Gänserich
Ganserer;Ganter
durch;gar
Vorhang;Gardine
garteln;Garten (arbeiten im)
Gaserer;Gasmann
Wirt, Bräu;Gastwirt
Gäu, das;Gau, der
Gaudi, die;Gaudi, das
Bazi, Lunmp, Schlawiner, Haderlump;Gauner
Stauden;Gebüsch
Stenz;Geck
Marterl;Gedenkkreuz
handsam;gefügig
drechselt;gedrechselt
drenterhalb;gegenüber
spuren, folgen;gehorchen
gescheit, sauber;gehörig
Notnickel, Ruch;Geizhals
gackerl-, gruserlgelb;gelb (intensiv)
Diridari, Gerstl, Moos, Flins;Geld
geschneckelt;gelockt
anweigen;gelüsten
geschert;gemein
Gemein;Gemeinde
miteinander;gemeinsam
Gmias, Grünzeug;Gemüse
grübig, zeam;gemütlich
akkurat;genau
Gnack;Genick
genug;genügend
offen, off;geöffnet
Schorsch, Girgl, Schore;Georg
Gepumper;Gepolter
grad;gerade
schier, direkt;geradezu
gesteckt voll;gerammelt voll
Geselchtes;Geräuchertes
stöckeln, zusammenlaufen;gerinnen
Geschmack;Geruch
Glump, Graffel;Gerümpel
Laden;Geschäft
passieren;geschehen
ratschert;geschwätzig
zünftig;gesellig
Bagage;Gesindel
Metten;Getöse
Neigerl;Getränkerest
krawotisch;gewaltvoll
Büchse;Gewehr
Krickerl, Gewichtl;Geweih (Reh, Gämse)
Wetter;Gewitter
gewappelt, wief;gewitzt
ruchert;gierig
Klampfe;Gitarre
Bettstattl;Gitterbett (Kinder)
glaslheiter;glasklar
Platte;Glatze
Platterter;Glatzkopf
plattert;glatzköpfig
rutschen;gleitsch
Fern;Gletscher
rutschig;glitschig
Dusel, Massel;Glück
Leuchtkäferl;Glühwürmchen
Batzelaugen;Glupschaugen
Ägarten;Grasland
grab;grau
grausen;grauen
gackerlgelb;grellgelb
Grenzer;Grenzpolizist
Grammeln;Grieben
Grammelschmalz;Griebenfett
grantig;griesgrämig
Zehnerl;Groschen
bärig, pfundig, zeam;großartig
granteln, brummeln;grummeln
grea;grün
Grünling;Grünschnabel
Gummi, der;Gummi, das
Gugummerer;Gurke
Wimmerl;Gürteltasche
Gutheit;Güte
bärig, pfundig, zeam;gut
Grüß Gott;guten Tag
Stößer;Habicht
Ferse;Hacke (fuß)
Hackl, Axt;Hackebeil
Hackstock;Hackklotz
Habern;Hafer
Kriecherl;Haferpflaume
Gockel, Gickerl;Hahn
Gickerl, Gockerl;Hähnchen
Griaß Di, Servus, Habe die Ehre, Griaß Euch;Hallo
Bartwisch;Handbesen
Pratzen;Hände (groß)
Tandler;Händler
hanteln;hangeln
tratzen;hänseln
Batzerl, Bröckerl;Häppchen
Rechen;Harke
rechen;harken
Baumpech;Harz
Schisser, Bollenbruder;Hasenfuß
dickhaben;hassen
gräuslig, schiech;hässlich
ruschert;hastig
Hiwern;Haus (abfällig)
Häuserl, Häusl;Häuschen
Stock;Häuserblock
Flez, Gang, Hausgang;Hausflur
Hauserin;Haushälterin
Hausl;Hausknecht
Germ, Hepfe;Hefe
Germknödel, Dampfnudel;Hefekloß
gaach, sauber;herftig
Zeitlang;Heimweh
Schmuser;Heiratsvermittler
Rusche;Hektikerin
ruschert;hektisch
Lichten;Helligkeit
Pfoat, die;Hemd, das
[bfoàd, he:màd];Hemmert
Bitscherl;Henkelmann
abher;herab
;[å:we]
aufher, rauf;heraus
ausher, raus;heraus
Hirgscht, Einwärts;Herbst
einher, rein;herein
blitzen, blümeln;hereinlegen
Mannerleut;Herren
herent;herüber
umher, rüber;herüber
rumkugeln;herumkollern
abher, runter;herunter
heugnen;heuen
blöken, zahnen, röhren, trenzen;heulen
Grummet;Heumahd
Heupferderl, Grashüpfer;Heuschrecke
hudeln;hetzen
Schlag;Hieb
da;hier
verratzt;hilflos
ab und zu, diemals;hin und wieder
abhin, nab;hinab
aufhin, nauf;hinauf
aushin, naus;hinaus
einhin, nei;hinein
hintennach;hintendrein
nachher;hinterher
umhin, nüber;hinüber
abhin, nunter;hinunter
Deuter;Hinweis
kleiner Binkel;Hitzkopf
hinauf, weit, oben;hoch
nauf gehen;hoch gehen
Filz;Hochmoor
Progoder;Hochzeitslader
Schämel;Hocker
Buckel;Höcker
Holler;Hollunder
Schragen;Holzbock (Arbeit)
holzern;hölzern
Holzknecht;Holfäller
Holzlege;Holzschuppen
Heng, Heni;Honig
Lebkuchen, Lebzelten;Honigkuchen
lusen, spitzen;horchen
lusen;hören
Hosensack;Hosentasche
Buckelkrax;Huckepack
fesch, sauber;hübsch
Bichel;Hügel
Henne;Huhn
Hennendreck;Hühnerkot
Hülse;Hülle
i;ich
pfundig, bärig, stark, gewandt;ideal
Depp, Doite, Lalle;Idiot
Depperlbergerl;Idiotenhügel
pfui Teufel, bäh;igitt
ihrer;ihr
Ihrene;Ihre
von ihr aus;ihrerseits
wegen ihr;ihretwegen
wegen Ihnen;Ihretwegen
Käseblatt;Illustrierte
ganz schön, gescheit;immens
allerweil, allweil;immer
wenigstens;immerhin
letz;impertinent
zu;in (Ortsangabe)
für die Katz;ineffektiv
derweil;indessen
ratschert;indiskret
Urvieh;Individualist
ausgeschämt;infam
starrig;inflexibel
auf die Gant gekommen;insolvent
richten, herrichten;instandsetzen
Theater;Inszenierung
gescheit;intelligent
Gescheitheit;Intelligenz
Gescheithaferl;Intelligenzbolzen
derweil;inzwischen
irdern;irden
anorts;irgendwo
gspinnert, narrisch;irr
Itaker;Italiener
Janker, Joppe;Jacke
Stutzen;Jagdgewehr
jagern;jagen
gach;jäh
Dult, Volksfest, Prater;Jahrmarkt
winseln;jammern
zu tode schade, ;jammerschade
ausgrasen;jäten
Odel;Jauche
ein jedes;jedermann
einer, eine, etwer;jemand
drenterhalb;jenseits
derzeit;jetzt
Tagwerk;Joch
Hans, Hansl, Hannes;Johann
Ribisel;Johannisbeeren
Juchzer, Juschrei;Jubelschrei
beißen;jucken
Beiß;Juckreiz
Buberl;Jüngelchen
Bub;Junge
Buben, Burschen;Jungs
gerade, akkurat;justamend
rupfern;Jute, aus
Rupfen;Jutegewebe
Scheiße, Scheißdreck;Kacke
gackeln;kacken
plattert;kahlköpfig
Schifferl;Kahn
Russ, Schwab;Kakerkake
Kalbl;Kälbchen
Kalm;Kalbe
kalbern;kalben
Kampel;Kamm
kampeln;kämmen
Scherzerl;Kanten
Kappe;Käppi
Häusl, Kastl;Karo
gehäuselt, gekastelt;kariert
Fasching, Maschkera;Karneval
Hase, Kinihas;Karnickel
Karren, der;Karre, die
Kartler;Kartenspieler
Papperdeckel;Karteon
gelbe Rübe;Karotte
Erdapfel, der, Grundbirne, die;Kartoffel, die
Reiberdatschi;Kartoffelpuffer
eingehen, gneißen;kapieren
Kasperl, der;Kasperle, das
Reine;Kasserolle
Tragel, Träger;Kasten (Getränke)
Gurgel;Kehle
belfern;keifen
Raufferts;Keilerei
Schöpflöffel;Kelle
Butzen;Kerngehäuse
bumperlgesund;kerngesund
kudern, gugitzen;kichern
Föhre;Kiefer (Baum)
Steinderl;Kiesel
Bettstattl;Kinderbett
Standl;Kiosk
Kirta, Kirwa;Kirchweihfest
Kirtahutschen;Kirchweihschaukel
Dult, Volksfest, Kirta;Kirmes
Tragl, Träger;Kiste (Getränke)
Steige;Kiste (Obst)
Gewand;Klamotten
scheppern;klappern
sich auskennen;klarkommen
Ratschkattl;Klatschbase
dacheln, mitgehen lassen, stibitzen, krampfeln, abstauben;klauen
pappen, picken;kleben
Papp;Kleber
pappig, pappert;klebrig
trenzen, sauen;kleckern
patzen;klecksen
Gewand;Kleidung
Zamperl, Wadenbeißer;kleiner Hund
Häuselmann, Häusler;Kleinbauer
Tüpferlscheißer;Kleinkrämer
zwicken;klemmen
Spengler;Klemtner
Häuter;Klepper
kraxeln;klettern
schnackeln;klicken
Schusser;Klicker
Glocke;Klingel
läuten;klingeln
scheppern;klirren
pumpern;klopfen
Nockerl, Knödel;Klops
Knödel;Kloß
Nockerl, Knöderl;Klößchen
glucksen;kluckern
gescheit;klug
Batzerl;Klümpchen
knacksen, schnackeln;knacken
Schnalzer, Tuscher;Knall
schnalzen, krachen;knallen
eiskalt, beinhart;knallhart
knarzen;knarren
notig;knauserig
verbuckeln, verbutteln;knautschen
Ehehalten;Knecht
zwicken;kneifen
Zwicker;Kneifer
Beißzange;Kneifzange
Beize;Kneipe
Beine;Knochen
Beindlkramer;Knochenmann
beinern, beinig;knöchern
Kruspel;Knorpel
Knopf;Knoten
Reißer;Knüller
Prügel;Knüppel
faustdick;knüppeldick
rösch;knusperig
schmusen;knutschen
Kofferl;Köfferchen
Aschenbrenner;Köhler
Zizibäh;Kohlmaise
verzwickt;kompliziert
Tauch;Kompott
Marmelade;Konfitüre
Belli, Schädel, Birne;Kopf
Kopfweh;Kopfschmerzen
Köpfler, Hecht;Kopfsprung
Kirm, Kretzl, Zegerer;Korb
Weinbeere;Korinthe
Gspeiberts;Kotze
Radaubruder;Krachmacher
Schmalz;Kraft
Irxenschmalz;Kraft (Arme)
gestanden;kräftig (Mann)
sich aufführen;krakeelen
schmieren;krakeln
Kramer;Krämer
Kramerin;Krämersfrau
Kräutl;Kräuter
Kräuterweiberl;Kräuterfrau
Schneckerl, Wuckerl;Kraushaar
krällen;kratzen
stulpen;krempeln
Zenzi;Kreszenz
bitzeln;kribbeln
schliefen;kriechen
rösch;kross
Protz;Kröte
Molle;Krume
Brösel, Bolterl;Krümel
Streuselkuchen;Krümelkuchen
bröseln, wutzeln;krümaln
Latsche;Krüppelkiefer
rumkrällen;kruschen
rumkraudern;kramen
Schwarte, Rammerl;Kruste (Fleisch)
Ruferl, Rufernschmarren, Bletze;Kruste (Blut)
Küch, Kuchl;Küche
schauen, spechten, luren;kucken
Kuhdreck;Kuhfladen
Biberl, Singerl, Herl;Küken
kugeln;kullern
Spezi, Kamerad;Kumpel
Kundschaft;Kunde
Schremse;Kurve
Bussl;Kuss
abbusseln, busseln;küssen
Mesner;Küster
letschert;labberig
Lacke;Lache
Salettl;Laube
Porree;Lauch
luren, passen, spechten;lauern
sausen, reifeln;laufen
Grant;Laune, schlechte
lusen;lauschen
Lausrechen;Läusekamm
lebfrisch;lebenslustig
ausrinnen;lecken
schlecken;lecken
gut, geschmackig, fein, ganz gut, närrisch gut;lecker
Schmankerl;Leckerbissen
Kurze, Wichs, ;Lederhose (kniefrei)
[kuàze, wix];kurze Wichs
Lederne, Bundlederne;Lederhose
Säckler;Lederhosenmacher
einschichtig;ledig
Loam;Lehm
Leim;Leim
lainen;lehnen
Lehrling, Lehrbub;Lehrjunge
Leich, die;Leichenbegräbnis
Krüsperl;Leichtgewicht
derbarmen;leid tun
Strick, Schnur, Schnürl;Leine
Staffelei, Loata;Leiter
Augendeckel;Lid
gernhaben, mögen, gefallen;lieben
gamsig, wepsig;liebestoll
Lieb;Liebe
schnaxeln, mausen, zusammenpacken, bürsteln,;Liebe machen
Liebhaber, Gspusi;Liebschaft
Maggiekraut;Liebstöckel
Kanapee, Chaise longue;Liege
flacken;liegen
Limo, das ;Limo, die
[limmo, grà:chàl, schbringàl];Gracherl, Springerl
Obatzter;Liptauer
Kartoffel;Loch im Strumpf
Schneckerl, Wuckerl;Locke
geschneckelt, geschnecklert;lockig
Häusl;Lokus
offen;lose
auslassen;loslassen
zerm, fidel, zünftig;lustig
schlecken;lutschen
Madl, Dirndl, Mensch;Mädchen
Madln, Dirndln, Menscher;Mädels
Häuter;Mähre
Kukuruz;Mais
Pecker;Makel
pampfen;mampfen
eindiemal;manchmal
Mannsbild;Mann
Manndl;Männchen (Tier)
Manndl, Mantschgerl;Männchen (Mensch)
Manndl, Mantschgerl;Männeken
händisch;manuell
Mirzl, Mia, Mare;Maria
Marmelad, das;Marmelade, die
Larve;Maske
Maschkera sein;maskiert sein
Maschkera;Maskierter
Mass, Masserl;Maß (Bier)
Baaz, Gaatsch, Tratsch;Matsch
Muli;Maulesel
Kalender zählen, stieren, zahnen;Maulaffen feilhalten
Scher;Maulwurf
Scherhaufen;Maulwurfshügel
Mauserl,;Mäuschen
Kren;Meerettich
Melberei;Mehlhandlung
Meiserl, Zizibä;Meise
Selchter;Melkeimer
melchen;melken
Haufen, haufenweis;Mange, ganze
leutscheu;menschenscheu
gneißen, spannen;merken
Ministrant;Messdiener
Brat;Mett
Meter, der;Meter, das
muffeln, bockeln;miefen
Grantler, Zwiderwurze;Miesepeter
lind;mild
Millli, Milch;Milch
Millibitsche;Milchkanne
Kriecherl;Mirabellen
gstinkert, grantig;missmutig
Aschenkübel;Mistkübel
mitkriegen;mitbekommen
mitgehen;mitkommen
derweil;mittlerweile
Adabei;Möchtegern
neumodisch;modern
gelbe Rüber;Möhre
mollert;mollig
Mahder;Montag
Frühe;Morgen
Tagwerk;Morgen (Land)
in der Frühe;morgens
Senf;Mostrich
Mucke, Stanze, Schnake;Mücke
muffeln, bockeln;müffeln,
fretten;mühen, sich
anders, zweierlei;mulmig
Aschentonne;Mülltonne
Gosche, Bappe, Fotze, Letsche, Maul;Mund
Fotzhobel;Mundharmonika
Schusser;Murmal
Mankerl;Murmeltier
grantig, hantig;mürrisch
Musi;Musik
Heimgarten;Musikantentreffen
aufspielen;musizieren
Schneid, die;Mut, der
Mama, Mam;Mutter
Sau, Loas;Mutterschwein
Haube, Kappe;Mütze
alsdann;na denn
auf München hinein;nach (Ortsangabe)
bröckerlweis, zietzerlweis;nach und nach
heim;nachhause
Heimweg;Nachhauseweg
später, nachert;nachher
Fechser;Nachkomme
nachschauen;nachsehen
Nachspeise;Nachtisch
bei der Nacht;nachts
Nackerfrosch, Nackerbätzerl;Nackedei
nackert;nackt
fieseln, kiefeln;nagen
Nachert;Nähe
nacherter;näher
Gugelhupf;Napfkuchen
schlecken;naschen
(Nebel);Nebel
tratzen, pflanzen, aufziehen;necken
naa;nein
Nagerl;Nelken
sich einen Schiefer einziehen;Nesseln, sich hineinsetzen
letzhin, neulings;neulich
Neuner, der;Neun, die
siebengescheit;neunmalklug
ned;nicht
nimmer;nicht mehr
gell, gelln S;nicht wahr?
nix;nichts
Hamperer, Haubentaucher, Lalle;Nichtsnutz
nimmer;nie mehr
dasig;niedergeschlagen
nasseln;nieseln
Nixerl;Niete (Los)
Winterleite;Nordhang
raunzen, benzen, mampsen;nörgeln
Nudelwalker;Nudelholz
Nuller, der;Null, die
grad, bloß;nur
gewandt, gescheid;nützlich
Daheim;Obdach
ganz oben;oben an
zu oberst;oben auf
außerdem, überhaupt;obendrein
Kellner;Ober
Oberlichte, die;Oberlicht, das
Großkopferte;Oberschicht
obwohl;obgleich
obwohl;obschon
Obstler;Obsthändler
Steige;Obstkiste
Ochserer;Ochsenknecht
aufmachen;öffnen
Hafner;Ofendetzer
Schelle, Watsche, Fotze;Ohrfeige
eine schmieren, schießen, runterhauen, reinhauen;ohrfeigen
passt scho, meinetwegen, meinethalben;O.K (okey)
Oktav;Oktave
o mei, o jeggerl;ojemine
Pfannenkuchen;Omelette, das
gescheit, sauber, anständig;ordentlich
geschert;ordinär
Urviech;Original
Bagage;Pack
Packl, Packerl;Päckchen
Semmelbrösel;Paniermehl
Simandl, Lalle, Lapp, Doite;Pantoffelheld
Papperdeckel;Pappe
Paarl;Pärchen
God;Pate
Godei, Godin;Patin
ochsen;paucken (lernen)
Brotzeit;Pausensnack
in den Dreck glangen;Pech haben
arg zuwider;peinlich (jemandem)
Geißel;Peitsche
geißelschnalzen;peitscheknallen
Haut, Schale, Rinde;Pelle
abschälen, schälen;pellen,
gekochte Erdäpfel;Pellkartoffel
akkurat;penibel
Zipfel, Zipferl, Schwanz, Schwengel, Riemen;Penis
schlafen, nafetzen;pennen
Sandler, Grattler;Penner
fetzert;peppig
Leut, das;Person
Peterl, Petersil;Petersilie
Verklaghaferl, Verpritschhaferl;Petze
verklagen, verpritschen;petzen
Pfarrerkapperl;Pfaffenhütchen (Pflanze)
Stempen;Pfahl
Pfannenkuchen;Pfannkuchen
Ross, Gaul;Pferd
Rossbollen;Pferdeäpfel
Rosserer;Pferdeknecht
Reherl, Eierschwammerl;Pfifferling
Kriecherl;Pflaumen (klein, rund)
Zwetschgendatschi, Datschi;Pflaumenblechkuchen
Stempen;Pflock
brocken;pflücken
ackern;pflügen
Stempen;Pfosten
Stopsel;Pfropfen
Lacke;Pfütze
Wimmerl;Pickel
pecken;picken
schinden, sekkieren, in der Reißen haben;piesacken
Schwammerl;Pilz
in d Schwammerl gehen;Pilze sammeln
Bemsel, Waschel;Pinsel
siehe urinieren;pissen
waschelnass, wie eine getaufte Maus;pitschnass
Gfrett;Plage
sich fretten;plagen
Plache;Plane
plantschen, pritscheln;planschen
Plachenwagen;Planwagen
bretteleben;platt
derdatschen;platt drücken
ratschen;plaudern
Ratschekattl;Plaudertasche
auf die Gant kommen;Pleite machen
auf einmal;plötzlich
pumpern, boußen;pochen
Surfleisch;Pökelfleisch
suren;pökeln
Polster, der;Polster, das
pumpern;poltern
Rammel, Wuckerl, Nasenwuckerl;Popel
nasenbohren;popeln
Hafen, Tiegel;Pott
gewandt;praktisch
pfundig, bärig, zerm;prima
Prim;Prime
Stiegengeländerrasse;Promenadenmischung
Großkopferter;Prominenter
gesteckt voll;proppenvoll
anmachen;provozieren
Strixen;Prügel
Pudelhaube;Pudelmütze
kletzeln, bohren;puhlen
Armstutzerl;Pulswärmer
Pummerl;Pummelchen
Tüpferl;Pünktchen
da sein wie ein Zeiger;pünktlich sein
Pupperl;Püppchen
Docke, Dockernandl;Puppe
Scheiß, Backs;Pups
scheißeln, backseln;pupsen
Schnauferer;Puste
Ja Schnecken!;Pustekuchen! (Ausruf)
Eiss;Pustel
blasen;pusten
Blasrohr;Pusterohr
Bibgockel, Truthahn;Puter
teigig;quabbelig
;Wenn ma so vui isst, na schaugt ma recht doagad aus!
Murkser;Quacksalber
viereckig;quadratisch
kirren;quäken
;Dua ned gar aso kirrn!
gagetzen;quaken
sekkieren, schinden;quälen
lästiges Wimmerl;Quälgeist
Topfen;Quark
